corp_code,corp_name,stock_code,induty_code,est_dt,acc_mt,status
00260985,한빛네트,036720,58221,19970722,12,000
00264529,(주)엔플렉스,040130,58221,19981030,12,000
00358545,(주)동서정보기술,055000,58221,19960410,12,000
00231567,주식회사 애드모바일,032600,58221,19950614,12,000
00359614,(주)리더컴,056140,26410,19980801,12,000
00153551,(주)허메스홀딩스,012400,26429,19770705,12,000
00344746,(주)유티엑스,045880,26410,19971212,09,000
00261188,(주)글로포스트,037830,58221,19980728,12,000
00268020,(주)쏠라엔텍,030390,46599,19760216,12,000
00269287,(주)보홍,041320,46521,19931206,12,000
00475286,동북아1호선박투자회사,078420,71531,20040116,12,000
00250775,에듀아크,046350,2622,19910114,12,000
00114321,(주)데코,013650,14112,19781209,12,000
00191108,(주)엘앤씨피,015390,20491,19810309,12,000
00167378,(주)희훈디앤지,019640,42,19861217,12,000
00225210,(주)퓨쳐인포넷,058690,58221,19920113,12,000
00223346,(주)쓰리디넷,035400,58221,19920115,12,000
00174129,(주)제일저축은행,024100,64131,19680622,06,000
00114826,제일창업투자(주),026540,64209,19900524,12,000
00173333,(주)현대DSF,016510,47111,19821126,12,000
00687599,(주)네프로아이티,950030,63991,20000209,03,000
00256292,(주)자강,036790,2642,19960731,12,000
00271431,케이엠에스(주),038830,2642,19930701,12,000
00154727,(주)에버리소스,020070,46510,19870701,12,000
00246189,제이에스(주),037110,2642,19940905,12,000
00154204,태창기업(주),007490,13401,19560901,12,000
00152631,(주)에이치비이에너지,017300,26,19831020,12,000
00358095,(주)코어비트,056850,58221,19930923,12,000
00510215,동북아8호선박투자회사,082110,71531,20041119,12,000
00347619,한국통신데이타(주),045760,58221,19990108,12,000
00372013,(주)케너텍,062730,291,19970924,12,000
00353735,(주)다휘,055250,291,19950412,12,000
00186540,코오롱아이넷(주),022520,58221,19900720,12,000
00128759,캠브리지코오롱(주),004620,14111,19660610,12,000
00535588,네오세미테크(주),089240,2612,19990805,12,000
00264981,(주)디에이치패션,045260,467,19971004,12,000
00231521,(주)핸디소프트,032380,58221,19910210,12,000
00159908,케이엠에이치(주),009690,28302,19740307,12,000
00259493,(주)씨엘엘씨디,035710,47919,19940705,12,000
00359641,(주)현대푸드시스템,114410,56130,19991223,12,000
00161639,메리츠종합금융(주),012420,64919,19770713,03,000
00211271,제넥셀세인(주),034660,27111,19900211,12,000
00388272,(주)쓰리디월드,065340,26,20000320,12,000
00264796,(주)스톰이앤에프,043680,5911,19940819,12,000
00134909,(주)소예,035010,467,19740307,06,000
00236368,(주)엠엔에프씨,048640,22214,19941212,12,000
00684547,하이트맥주(주),103150,11,20080701,12,000
00251385,(주)보광티에스,066690,2592,19980510,12,000
00262682,(주)아인스엠앤엠,040740,59111,19990514,12,000
00234555,씨엔씨엔터프라이즈(주),038420,292,19940608,12,000
00507257,(주)아이알디,084810,29271,19990917,12,000
00417963,(주)바이나믹,067850,59114,19990916,12,000
00543523,(주)코크렙제7호위탁관리부동산투자회사,086720,68112,20051025,04,000
00300566,엔빅스(주),054170,62021,19920917,12,000
00299376,(주)선팩테크,054010,2629,19970225,12,000
00112068,마이크로닉스(주),001190,13109,19540507,12,000
00257194,(주)블루스톤디앤아이,033720,58221,19920410,12,000
00477372,(주)신지소프트,078700,58221,20000328,12,000
00465410,(주)맥쿼리센트럴오피스기업구조조정부동산투자회사,076850,68112,20031212,06,000
00331760,테스텍(주),048510,29271,19961102,12,000
00200761,(주)중앙디자인,030030,73201,19910322,12,000
00268297,(주)에코페트로시스템,042870,46800,19970721,12,000
00161301,한림창업투자(주),021060,64209,19880928,12,000
00237260,(주)헤쎄나,036270,2642,19900716,12,000
00297970,미래에셋굿라이프혼합형자녀를위한투자회사10-1,037510,64201,19991124,11,000
00107358,(주)일공공일안경콘택트,032030,46493,19850531,12,000
00267474,(주)지앤알,043630,27112,19930730,12,000
00134051,(주)셀런,013240,26,19780412,12,000
00596066,한국 베트남15-1유전 해외자원개발투자회사,093820,64201,20061101,01,000
00347363,(주)에이치원바이오,052310,58221,19960925,12,000
00150226,(주)씨앤중공업,008400,30203,19730108,12,000
00152914,FnC코오롱(주),001370,1419,19541217,12,000
00158839,(주)제너비오믹스,017010,27214,19830530,12,000
00159281,(주)케드콤,011050,2642,19760213,12,000
00210537,(주)지엔텍홀딩스,065410,74100,19900326,12,000
00240370,동부씨엔아이(주),044640,58221,19940706,12,000
00247887,(주)아이피에스,051820,29271,19960327,12,000
00268358,(주)에스브이에이치,046240,58221,19970926,12,000
00316488,(주)제이콤,060750,2642,19980501,12,000
00264130,(주)옥션,043790,4610,19960322,12,000
00540304,(주)네이쳐글로벌,088020,2611,20000510,12,000
00617299,GB 블루오션베트남주식혼합형 투자회사 1호,094950,64201,20070105,01,000
00262275,엠씨티티코어(주),052210,26410,19970123,12,000
00200798,(주)에이스 앤 파트너스,032930,2642,19820105,12,000
00335924,(주)지앤디윈텍,061050,2642,19980605,12,000
00111591,인터피온반도체,014010,2612,19790412,12,000
00189343,(주)솔로몬저축은행,007800,64131,19720406,06,000
00252588,(주)엠트론스토리지테크놀로지,046320,46510,19901212,12,000
00267997,(주)에스티앤아이,031800,2611,19940530,12,000
00299686,(주)유퍼트,060670,2811,19870415,12,000
00463050,(주)엑스로드,074140,26429,20000104,12,000
00238913,(주)선우중공업,068770,292,19870908,12,000
00107446,(주)남양,003020,13922,19601019,06,000
00114303,(주)엘지데이콤,015940,61210,19820329,12,000
00318617,(주)LG파워콤,045820,61210,20000126,12,000
00267775,동산진흥(주),031960,14111,19850119,12,000
00394574,티이씨(주),067950,292,19981026,12,000
00110176,한국기술산업(주),008320,28302,19721226,10,000
00136554,(주)스타맥스,017050,59111,19830610,12,000
00144562,(주)유성티에스아이,024870,259,19870101,12,000
00370547,(주)네오리소스,058550,2642,19960403,12,000
00242439,(주)케이알,035950,2511,19920428,03,000
00134060,(주)씨앤상선,000790,50112,19510704,12,000
00392600,(주)투미비티,058900,58221,19950623,12,000
00259855,(주)코아정보시스템,039990,62021,19901213,12,000
00385451,(주)케이에스리소스,066340,2642,19990719,12,000
00258944,(주)세계투어,047600,75210,19940325,12,000
00798530,동양밸류오션기업인수목적(주),122290,64999,20091221,06,000
00451268,케이이엔지(주),077960,29271,19990625,12,000
00336570,(주)사이버패스,063280,58221,20000724,12,000
00363325,산양전기(주),079870,2622,19890704,12,000
00148188,(주)으뜸상호저축은행,032150,64132,19741121,06,000
00508566,(주)국제개발,080570,41224,20041203,12,000
00133928,세신(주),004230,25931,19650428,12,000
