corp_code,기업명,사업연도,대사,신뢰도,사용보고서,본문무형자산,주석기말,합산표시,손상액,상각액
00252393,(주)예당컴퍼니,2015,실패,,,,,,,
00252393,(주)예당컴퍼니,2016,실패,,,,,,,
00255071,(주)현대에이치씨엔동작방송,2015,실패,,,,,,,
00838421,씨제이이앤엠(주),2015,성공,확정,정정,653159648557.0,653159649000.0,False,97352651000.0,306069098000.0
00838421,씨제이이앤엠(주),2016,성공,확정,원본,723525340026.0,723525340000.0,False,1674441000.0,383812795000.0
00838421,씨제이이앤엠(주),2017,성공,확정,원본,783393360340.0,783393360000.0,False,3208587000.0,339565893000.0
00232496,(주)씨그널엔터테인먼트그룹,2015,성공,확정,원본,960478008.0,960478000.0,False,0.0,275378000.0
00232496,(주)씨그널엔터테인먼트그룹,2016,성공,확정,원본,2174192153.0,2174193000.0,False,1882789000.0,444579000.0
00232496,(주)씨그널엔터테인먼트그룹,2017,성공,확정,원본,125519466.0,125519000.0,False,1329216000.0,79265000.0
00232496,(주)씨그널엔터테인먼트그룹,2018,실패,,,,,,,
00122339,(주)이매진아시아,2015,성공,확정,정정,7845115943.0,7845114000.0,True,,2177550000.0
00122339,(주)이매진아시아,2016,성공,확정,원본,161901947.0,161902000.0,True,,6636082000.0
00122339,(주)이매진아시아,2017,성공,확정,원본,16325718109.0,16325718000.0,True,,6820771000.0
00122339,(주)이매진아시아,2018,성공,확정,원본,356756953.0,356757000.0,True,,323649000.0
00122339,(주)이매진아시아,2019,성공,확정,정정,73588502.0,73589000.0,True,,171318000.0
00122339,(주)이매진아시아,2020,성공,확정,원본,7008335.0,7008000.0,True,,55431000.0
00650629,SBS미디어홀딩스(주),2015,성공,보통,원본,13042322412.0,13042322000.0,False,0.0,
00650629,SBS미디어홀딩스(주),2016,성공,보통,원본,12267580214.0,12267580000.0,False,0.0,
00650629,SBS미디어홀딩스(주),2017,성공,보통,원본,11972267261.0,11972267000.0,False,0.0,
00650629,SBS미디어홀딩스(주),2018,성공,보통,원본,13165819169.0,13165819000.0,False,0.0,
00650629,SBS미디어홀딩스(주),2019,성공,보통,원본,30337523413.0,30337523000.0,False,0.0,
00650629,SBS미디어홀딩스(주),2020,실패,,,,,,,
00207755,(주)지에스홈쇼핑,2015,성공,확정,원본,58855625015.0,58855625000.0,False,0.0,12190617000.0
00207755,(주)지에스홈쇼핑,2016,성공,확정,원본,46932163704.0,46932164000.0,False,1210439000.0,12047864000.0
00207755,(주)지에스홈쇼핑,2017,성공,확정,원본,38740461938.0,38740462000.0,False,0.0,10312967000.0
00207755,(주)지에스홈쇼핑,2018,성공,확정,정정,31521561548.0,31521561000.0,False,1136570000.0,8279199000.0
00207755,(주)지에스홈쇼핑,2019,성공,확정,원본,28840161778.0,28840162000.0,False,0.0,3755364000.0
00207755,(주)지에스홈쇼핑,2020,성공,확정,원본,27334218369.0,27334218000.0,False,0.0,2513456000.0
01303029,주식회사 알비더블유,2021,성공,확정,정정,23417579406.0,23417579000.0,False,0.0,1792144000.0
01303029,주식회사 알비더블유,2022,성공,확정,원본,32373023548.0,32373023000.0,False,0.0,3109270000.0
01303029,주식회사 알비더블유,2023,성공,확정,원본,42989671043.0,42989671000.0,False,530780000.0,3373277000.0
01303029,주식회사 알비더블유,2024,성공,확정,원본,32382472891.0,32382473000.0,False,5829728000.0,2846945000.0
01303029,주식회사 알비더블유,2025,성공,확정,원본,39044620671.0,39044621000.0,False,3388003000.0,3115036000.0
00347877,(주)세영디앤씨,2015,성공,확정,원본,5681603532.0,5681603000.0,False,921182000.0,3399273000.0
00347877,(주)세영디앤씨,2016,성공,확정,정정,8181036106.0,8181036000.0,False,361154000.0,3327280000.0
00347877,(주)세영디앤씨,2017,성공,보통,정정,5344194790.0,5344195000.0,False,1130218000.0,363396000.0
00347877,(주)세영디앤씨,2018,성공,확정,정정,12113726099.0,12113726000.0,False,3256878000.0,647593000.0
00347877,(주)세영디앤씨,2019,성공,확정,원본,724159933.0,724160000.0,False,0.0,356186000.0
00347877,(주)세영디앤씨,2020,성공,확정,정정,384424744.0,384424000.0,False,0.0,339736000.0
00347877,(주)세영디앤씨,2021,실패,,,,,,,
00347877,(주)세영디앤씨,2022,성공,보통,원본,2606580.0,2607000.0,False,0.0,290000.0
00347877,(주)세영디앤씨,2023,성공,확정,원본,2027340.0,2027000.0,False,0.0,579000.0
00347877,(주)세영디앤씨,2024,성공,확정,원본,1448100.0,1448000.0,False,0.0,579000.0
00347877,(주)세영디앤씨,2025,성공,확정,정정,868860.0,869000.0,False,0.0,579000.0
00975290,(주)에이스토리,2019,실패,,,,,,,
00975290,(주)에이스토리,2020,성공,보통,원본,2732750.0,2732750.0,False,0.0,538250.0
00975290,(주)에이스토리,2021,성공,확정,원본,43302365.0,43302365.0,False,0.0,3707650.0
00975290,(주)에이스토리,2022,성공,확정,원본,26113643.0,26113643.0,False,14678655.0,5343585.0
00975290,(주)에이스토리,2023,성공,확정,원본,20579039.0,20579039.0,False,0.0,5534604.0
00975290,(주)에이스토리,2024,성공,확정,원본,269731666.0,269731666.0,False,14678655.0,11777874.0
00975290,(주)에이스토리,2025,성공,확정,원본,477735055.0,477735055.0,False,30669136.0,12944556.0
00974927,(주)넥스트엔터테인먼트월드,2015,성공,확정,원본,1406358874.0,1406359000.0,False,0.0,248885000.0
00974927,(주)넥스트엔터테인먼트월드,2016,성공,확정,원본,1558479997.0,1558480000.0,False,24424000.0,93586000.0
00974927,(주)넥스트엔터테인먼트월드,2017,성공,확정,원본,5902438607.0,5902439000.0,False,0.0,83922000.0
00974927,(주)넥스트엔터테인먼트월드,2018,성공,확정,원본,11421058923.0,11421059000.0,False,0.0,982504000.0
00974927,(주)넥스트엔터테인먼트월드,2019,성공,확정,원본,15707934592.0,15707935000.0,False,0.0,1851020000.0
00974927,(주)넥스트엔터테인먼트월드,2020,성공,확정,원본,12324167736.0,12324168000.0,False,2886055000.0,2023686000.0
00974927,(주)넥스트엔터테인먼트월드,2021,성공,확정,원본,7335380054.0,7335380000.0,False,3929057000.0,1962616000.0
00974927,(주)넥스트엔터테인먼트월드,2022,성공,확정,원본,7249077510.0,7249078000.0,False,1831597000.0,1226097000.0
00974927,(주)넥스트엔터테인먼트월드,2023,성공,확정,원본,5095401756.0,5095404000.0,False,1780777000.0,659710000.0
00974927,(주)넥스트엔터테인먼트월드,2024,성공,확정,원본,4612135480.0,4612138000.0,False,359327000.0,431045000.0
00974927,(주)넥스트엔터테인먼트월드,2025,성공,확정,원본,3876249393.0,3876251000.0,False,240032000.0,364137000.0
00258689,(주)제이와이피엔터테인먼트,2015,성공,확정,정정,33091434732.0,33091436000.0,False,0.0,2150480000.0
00258689,(주)제이와이피엔터테인먼트,2016,성공,확정,원본,30978512618.0,30978513000.0,False,0.0,2139364000.0
00258689,(주)제이와이피엔터테인먼트,2017,성공,확정,원본,29134692496.0,29134692000.0,False,12500000.0,2559055000.0
00258689,(주)제이와이피엔터테인먼트,2018,성공,확정,원본,29108181182.0,29108181000.0,False,0.0,276996000.0
00258689,(주)제이와이피엔터테인먼트,2019,성공,확정,정정,29043036790.0,29043037000.0,False,0.0,280877000.0
00258689,(주)제이와이피엔터테인먼트,2020,성공,확정,원본,30828082474.0,30828083000.0,False,0.0,417899000.0
00258689,(주)제이와이피엔터테인먼트,2021,성공,확정,원본,29545607468.0,29545607000.0,True,,2250171000.0
00258689,(주)제이와이피엔터테인먼트,2022,성공,확정,원본,41506863178.0,41506863000.0,True,,1720534000.0
00258689,(주)제이와이피엔터테인먼트,2023,성공,확정,원본,40648348163.0,40648348000.0,True,,10041125000.0
00258689,(주)제이와이피엔터테인먼트,2024,성공,확정,원본,60223870978.0,60223871000.0,False,0.0,5701915000.0
00258689,(주)제이와이피엔터테인먼트,2025,성공,확정,원본,66897868484.0,66897868000.0,False,0.0,10111109000.0
00925295,(주)에프엔씨엔터테인먼트,2015,실패,,,,,,,
00925295,(주)에프엔씨엔터테인먼트,2016,성공,확정,원본,20231811325.0,20231811325.0,False,624663333.0,3398553156.0
00925295,(주)에프엔씨엔터테인먼트,2017,성공,확정,원본,10557424021.0,10557424021.0,False,5863790481.0,4843586553.0
00925295,(주)에프엔씨엔터테인먼트,2018,성공,확정,정정,8616563645.0,8616563645.0,False,3333085605.0,3609250116.0
00925295,(주)에프엔씨엔터테인먼트,2019,성공,확정,원본,6282558311.0,6282558311.0,False,1653400539.0,2091048321.0
00925295,(주)에프엔씨엔터테인먼트,2020,성공,확정,원본,5657176133.0,5657176133.0,False,522366601.0,2023226555.0
00925295,(주)에프엔씨엔터테인먼트,2021,성공,확정,원본,28588014961.0,28588014961.0,False,1348839917.0,3756427649.0
00925295,(주)에프엔씨엔터테인먼트,2022,성공,확정,원본,5795171578.0,5795171578.0,False,0.0,1688953339.0
00925295,(주)에프엔씨엔터테인먼트,2023,성공,확정,원본,4918311359.0,4918311359.0,False,0.0,828098681.0
00925295,(주)에프엔씨엔터테인먼트,2024,성공,확정,원본,3716097369.0,3716097369.0,False,0.0,1001192340.0
00925295,(주)에프엔씨엔터테인먼트,2025,실패,,,,,,,
01047840,미스터블루(주),2015,실패,,,,,,,
01047840,미스터블루(주),2016,실패,,,,,,,
01047840,미스터블루(주),2017,실패,,,,,,,
01047840,미스터블루(주),2018,실패,,,,,,,
01047840,미스터블루(주),2019,실패,,,,,,,
01047840,미스터블루(주),2020,실패,,,,,,,
01047840,미스터블루(주),2021,실패,,,,,,,
01047840,미스터블루(주),2022,실패,,,,,,,
01047840,미스터블루(주),2023,실패,,,,,,,
01047840,미스터블루(주),2024,성공,보통,원본,6217456383.0,6217456000.0,False,0.0,
01047840,미스터블루(주),2025,실패,,,,,,,
01139965,주식회사 스튜디오미르,2022,성공,보통,원본,241580000.0,241580000.0,False,0.0,
01139965,주식회사 스튜디오미르,2023,성공,보통,원본,416265000.0,416265000.0,False,0.0,
01139965,주식회사 스튜디오미르,2024,성공,보통,원본,409005000.0,409005000.0,False,0.0,
01139965,주식회사 스튜디오미르,2025,성공,보통,원본,401745000.0,400000000.0,False,0.0,
01343735,주식회사 데이드림엔터테인먼트,2019,실패,,,,,,,
01343735,주식회사 데이드림엔터테인먼트,2020,실패,,,,,,,
01343735,주식회사 데이드림엔터테인먼트,2021,실패,,,,,,,
01343735,주식회사 데이드림엔터테인먼트,2022,실패,,,,,,,
00359474,(주)제이웨이,2015,성공,확정,정정,1728056880.0,1728057000.0,False,253003000.0,1687650000.0
00359474,(주)제이웨이,2016,성공,확정,정정,1213441164.0,1213442000.0,False,400000000.0,1559732000.0
00359474,(주)제이웨이,2017,실패,,,,,,,
00359474,(주)제이웨이,2018,성공,보통,원본,5186305958.0,5186306000.0,False,612442000.0,1514441000.0
00359474,(주)제이웨이,2019,성공,확정,원본,3363352007.0,3363352000.0,False,0.0,1401415000.0
00359474,(주)제이웨이,2020,성공,확정,정정,2408864708.0,2408864000.0,False,5345879000.0,975595000.0
00359474,(주)제이웨이,2021,성공,확정,정정,225389000.0,225389000.0,False,566839000.0,49463000.0
00359474,(주)제이웨이,2022,성공,확정,정정,22000.0,22000.0,False,0.0,379000.0
01335578,(주)애니플러스,2018,실패,,,,,,,
01335578,(주)애니플러스,2019,성공,보통,원본,9199184833.0,9199185000.0,False,0.0,4406579000.0
01335578,(주)애니플러스,2020,성공,확정,정정,9343689017.0,9343689000.0,False,0.0,4720425000.0
01335578,(주)애니플러스,2021,성공,확정,정정,14530795596.0,14530796000.0,False,0.0,5085637000.0
01335578,(주)애니플러스,2022,성공,확정,원본,70355491909.0,70355492000.0,False,258000000.0,7301780000.0
01335578,(주)애니플러스,2023,성공,확정,원본,126894960073.0,126894960000.0,False,0.0,12793430000.0
01335578,(주)애니플러스,2024,성공,확정,정정,138023911205.0,138023911000.0,False,1516159000.0,21072373000.0
