기업,사업연도,접수번호,추출,배치,단위,합산표시,상각액,손상액,취득액,기말총액
하이브,2021,20220322000653,성공,A,1.0,False,94313650.0,,82443892.0,2660076854.0
하이브,2022,20230403004275,성공,A,1.0,False,137492088.0,166767180.0,48335338.0,2940339768.0
하이브,2023,20240322001002,실패,,,,,,,
하이브,2024,20250321001187,성공,A,1.0,False,9686906.0,761486.0,9552790.0,40405498.0
하이브,2025,20260320000802,성공,A,1.0,False,9570748.0,,10098660.0,37800840.0
에스엠,2021,20220331003351,성공,A,1000.0,False,183729158000.0,10506961000.0,352893664000.0,144813616000.0
에스엠,2022,20230331004445,성공,A,1000.0,False,194813220000.0,221066000.0,328542774000.0,145107008000.0
에스엠,2023,20240322000886,성공,A,1000.0,False,134166491000.0,58704825000.0,339920228000.0,203862070000.0
에스엠,2024,20250718000170,실패,,,,,,,
에스엠,2025,20260317000781,성공,A,1000.0,False,50844856000.0,,69216075000.0,31279506000.0
와이지엔터테인먼트,2021,20220317001082,성공,A,1.0,False,1000409822329.0,,500000000.0,143834578787.0
와이지엔터테인먼트,2022,20230814002127,성공,A,1.0,False,1210644975926.0,,500000000.0,176261384000.0
와이지엔터테인먼트,2023,20240403000827,성공,B,1.0,False,,1676013866.0,5092043742.0,45702667998.0
와이지엔터테인먼트,2024,20250320001675,성공,B,1.0,False,,1676013866.0,5092043742.0,45702667998.0
와이지엔터테인먼트,2025,20260323001610,성공,B,1.0,False,,1322606062.0,5910000000.0,43830974690.0
JYP Ent.,2021,20220321001029,성공,A,1.0,False,1255161409.0,801022983.0,-33659771509.0,122339223224.0
JYP Ent.,2022,20230320000741,성공,A,1.0,False,2694819152.0,801022983.0,-59059441406.0,223327757409.0
JYP Ent.,2023,20240318000479,성공,A,1.0,False,6242411527.0,999999260.0,-36602246720.0,260234222449.0
JYP Ent.,2024,20250317000598,성공,B,1000.0,False,5701915000.0,,24105479000.0,60223871000.0
JYP Ent.,2025,20260318001519,성공,A,1.0,False,14626987583.0,578065500.0,-44658883701.0,281420281757.0
스튜디오드래곤,2021,20220321000889,성공,A,1.0,False,323602860513.0,7141635629.0,-54491807298.0,173539974741.0
스튜디오드래곤,2022,20230320000722,성공,A,1.0,False,358552460717.0,16117857645.0,-69748337305.0,237389667248.0
스튜디오드래곤,2023,20240318000577,성공,A,1000.0,True,197469701000.0,,362284659000.0,1427310176000.0
스튜디오드래곤,2024,20250319000636,성공,A,1000.0,True,139299420000.0,,146242155000.0,142487085000.0
스튜디오드래곤,2025,20260318001699,성공,A,1000.0,False,127980461000.0,3910838000.0,263266842000.0,166915295000.0
콘텐트리중앙,2021,20220323001342,성공,A,1000.0,False,103510983000.0,55946695000.0,31542230000.0,521961781000.0
콘텐트리중앙,2022,20230321001329,성공,A,1000.0,False,118947932000.0,109069774000.0,163530763000.0,657518585000.0
콘텐트리중앙,2023,20240320001970,성공,A,1000.0,False,107191191000.0,78205279000.0,229931414000.0,592562639000.0
콘텐트리중앙,2024,20250320001749,성공,A,1.0,False,1182734322.0,75305103744.0,-645627261.0,123286450436.0
콘텐트리중앙,2025,20260318001520,성공,A,1.0,False,6666667.0,201099000000.0,-2643901261.0,108586042238.0
에이스토리,2021,20220321000998,성공,A,1.0,False,800868583.0,,-9819090770.0,15228617770.0
에이스토리,2022,20230321000923,성공,A,1.0,False,1004235387.0,14678655.0,-14219085484.0,41640272399.0
에이스토리,2023,20240321001572,성공,A,1.0,False,5343585.0,14678655.0,2833518.0,50381783.0
에이스토리,2024,20250320001255,성공,A,1.0,False,30154982.0,0.0,,
에이스토리,2025,20260318001707,성공,A,1.0,False,55864.0,13494420.0,,
쇼박스,2021,20220315001143,성공,A,1.0,False,109542665920.0,2283068158.0,-7479912000.0,16479049322.0
쇼박스,2022,20230315001421,성공,A,1.0,False,91911258145.0,2321104860.0,-7479912000.0,18517665978.0
쇼박스,2023,20240313001426,성공,B,1000.0,False,45820571000.0,5938622000.0,57538653000.0,10603150000.0
쇼박스,2024,20250317000833,성공,B,1000.0,False,482993000.0,235092000.0,81350000.0,9966415000.0
쇼박스,2025,20260318001592,성공,B,1000.0,False,8527921000.0,0.0,0.0,1438494000.0
디앤씨미디어,2021,20220812000782,실패,,,,,,,
디앤씨미디어,2022,20230314000929,성공,A,1.0,False,7017700000.0,,-75702104770.0,39429289858.0
디앤씨미디어,2023,20240315000898,성공,A,1000.0,False,1421281000.0,,343599000.0,20681047000.0
디앤씨미디어,2024,20250320001011,성공,A,1000.0,False,1773007000.0,,6103766000.0,25073801000.0
디앤씨미디어,2025,20260317000853,성공,A,1000.0,False,1613881000.0,5477953000.0,1500959000.0,18600618000.0
키다리스튜디오,2021,20220317000876,성공,A,1.0,False,39812.0,37500.0,,
키다리스튜디오,2022,20230316001551,성공,B,1000.0,False,13099365000.0,5228667000.0,16408787000.0,172824184000.0
키다리스튜디오,2023,20240318000710,성공,B,1000.0,False,13099365000.0,5228667000.0,16408787000.0,172824184000.0
키다리스튜디오,2024,20250319000526,성공,A,1000.0,False,136499000.0,,,
키다리스튜디오,2025,20260317000560,성공,A,1.0,False,0.0,,,
