기업,사업연도,보고서수,대사,신뢰도,사용보고서,본문무형자산,주석기말,합산표시,손상액,상각액
하이브,2021,1,성공,확정,원본,1330038427000.0,1330038427000.0,False,0.0,47156825000.0
하이브,2022,2,성공,확정,정정,1470169884000.0,1470169884000.0,False,83383590000.0,68746044000.0
하이브,2023,2,성공,확정,원본,2165250407000.0,2165250407000.0,False,95562539000.0,74222154000.0
하이브,2024,1,성공,확정,원본,2244256804000.0,2244256804000.0,False,89746480000.0,84506106000.0
하이브,2025,1,성공,확정,원본,1986685747000.0,1986685747000.0,False,163683556000.0,87516114000.0
에스엠,2021,2,성공,확정,정정,144813615831.0,144813616000.0,False,10506961000.0,174959850000.0
에스엠,2022,2,성공,확정,정정,145107007512.0,145107008000.0,False,221066000.0,183729158000.0
에스엠,2023,2,성공,확정,정정,203862069622.0,203862070000.0,False,58704825000.0,194813220000.0
에스엠,2024,2,성공,확정,원본,140213032950.0,140213033000.0,False,85000000.0,134166492000.0
에스엠,2025,1,성공,확정,원본,601394560770.0,601394560000.0,False,0.0,184416197000.0
와이지엔터테인먼트,2021,1,성공,확정,원본,44469186264.0,44469186264.0,False,0.0,1355411584.0
와이지엔터테인먼트,2022,2,성공,확정,정정,10853636441.0,10853636441.0,False,0.0,1216707246.0
와이지엔터테인먼트,2023,2,성공,확정,정정,47082657725.0,47082657725.0,False,0.0,6327758964.0
와이지엔터테인먼트,2024,1,성공,확정,원본,47382577696.0,47382577696.0,False,0.0,15423744925.0
와이지엔터테인먼트,2025,2,성공,확정,원본,34692548888.0,34692548888.0,False,0.0,16351062730.0
JYP Ent.,2021,1,성공,확정,원본,29545607468.0,29545607000.0,True,,2250171000.0
JYP Ent.,2022,1,성공,확정,원본,41506863178.0,41506863000.0,True,,1720534000.0
JYP Ent.,2023,1,성공,확정,원본,40648348163.0,40648348000.0,True,,10041125000.0
JYP Ent.,2024,1,성공,확정,원본,60223870978.0,60223871000.0,False,0.0,5701915000.0
JYP Ent.,2025,1,성공,확정,원본,66897868484.0,66897868000.0,False,0.0,10111109000.0
스튜디오드래곤,2021,1,성공,확정,원본,298028251868.0,298028252000.0,True,,99149629000.0
스튜디오드래곤,2022,1,성공,확정,원본,377835439955.0,377835440000.0,True,,158945504000.0
스튜디오드래곤,2023,1,성공,확정,원본,358885372768.0,358885373000.0,True,,197469701000.0
스튜디오드래곤,2024,1,성공,확정,원본,204856594091.0,204856594000.0,True,,161544419000.0
스튜디오드래곤,2025,1,성공,확정,원본,228995860812.0,228995861000.0,False,18822098000.0,131348912000.0
콘텐트리중앙,2021,1,성공,확정,원본,521961782014.0,521961781000.0,False,55946695000.0,103510983000.0
콘텐트리중앙,2022,1,성공,확정,원본,657518584745.0,657518585000.0,False,109069774000.0,118947932000.0
콘텐트리중앙,2023,1,성공,확정,원본,592562639289.0,592562639000.0,False,78205279000.0,107191191000.0
콘텐트리중앙,2024,1,성공,확정,원본,700721668283.0,700721667000.0,False,14157305000.0,123928356000.0
콘텐트리중앙,2025,1,성공,확정,원본,533822076306.0,533822076000.0,False,6042266000.0,146161781000.0
에이스토리,2021,1,성공,확정,원본,43302365.0,43302365.0,False,0.0,3707650.0
에이스토리,2022,1,성공,확정,원본,26113643.0,26113643.0,False,14678655.0,5343585.0
에이스토리,2023,1,성공,확정,원본,20579039.0,20579039.0,False,0.0,5534604.0
에이스토리,2024,1,성공,확정,원본,269731666.0,269731666.0,False,14678655.0,11777874.0
에이스토리,2025,1,성공,확정,원본,477735055.0,477735055.0,False,30669136.0,12944556.0
쇼박스,2021,1,성공,확정,원본,2317087392.0,2317087000.0,False,0.0,19268441000.0
쇼박스,2022,1,성공,확정,원본,4823689789.0,4823690000.0,False,1264000.0,42243536000.0
쇼박스,2023,1,성공,확정,원본,10603149876.0,10603150000.0,False,5938622000.0,45820571000.0
쇼박스,2024,1,성공,보통,원본,1090710509.0,1090711000.0,False,1412928000.0,30877229000.0
쇼박스,2025,1,성공,확정,원본,1805975859.0,1805976000.0,False,4222908000.0,20525318000.0
디앤씨미디어,2021,2,성공,확정,정정,21144291517.0,21144292000.0,False,0.0,
디앤씨미디어,2022,1,성공,확정,원본,21697695755.0,21697696000.0,False,0.0,1677494000.0
디앤씨미디어,2023,2,성공,확정,정정,20681047354.0,20681047000.0,False,0.0,1421281000.0
디앤씨미디어,2024,1,성공,확정,원본,25073798964.0,25073801000.0,False,0.0,1773007000.0
디앤씨미디어,2025,1,성공,확정,원본,18600617456.0,18600618000.0,False,5477953000.0,1613881000.0
키다리스튜디오,2021,1,성공,확정,원본,174476804889.0,174476803000.0,False,1442423000.0,3099757000.0
키다리스튜디오,2022,1,성공,확정,원본,172824187317.0,172824184000.0,False,5228667000.0,13099365000.0
키다리스튜디오,2023,1,실패,,,148597961533.0,,,,
키다리스튜디오,2024,1,실패,,,146525087987.0,,,,
키다리스튜디오,2025,1,성공,보통,원본,150053232875.0,150053233000.0,False,0.0,
