corp_code,기업명,종목코드,업종코드,구분,업종,보고연도수,최초,최종,연도목록
00252393,(주)예당컴퍼니,049000,59201,핵심,오디오물·음반,2,2015.0,2016.0,"2015,2016"
00255071,(주)현대에이치씨엔동작방송,034750,60222,핵심,텔레비전 방송,1,2015.0,2015.0,2015
01115257,(주)시냅스엠,246830,63120,경계,포털·콘텐츠 플랫폼,3,2015.0,2017.0,"2015,2016,2017"
00838421,씨제이이앤엠(주),130960,602,핵심,텔레비전 방송,3,2015.0,2017.0,"2015,2016,2017"
00232496,(주)씨그널엔터테인먼트그룹,099830,591,핵심,영상·방송프로그램 제작/배급/상영,4,2015.0,2018.0,"2015,2016,2017,2018"
01095397,줌인터넷(주),229480,63120,경계,포털·콘텐츠 플랫폼,4,2015.0,2018.0,"2015,2016,2017,2018"
00122339,(주)이매진아시아,036260,591,핵심,영상·방송프로그램 제작/배급/상영,6,2015.0,2020.0,"2015,2016,2017,2018,2019,2020"
00650629,SBS미디어홀딩스(주),101060,602,핵심,텔레비전 방송,6,2015.0,2020.0,"2015,2016,2017,2018,2019,2020"
00207755,(주)지에스홈쇼핑,028150,602,핵심,텔레비전 방송,6,2015.0,2020.0,"2015,2016,2017,2018,2019,2020"
00493501,(주)씨디네트웍스,073710,631,경계,포털·콘텐츠 플랫폼,5,2015.0,2019.0,"2015,2016,2017,2018,2019"
00260879,카페24(주),042000,63112,경계,포털·콘텐츠 플랫폼,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
01303029,주식회사 알비더블유,361570,59201,핵심,오디오물·음반,5,2021.0,2025.0,"2021,2022,2023,2024,2025"
00298687,(주)스포츠서울,039670,58121,경계,출판(웹툰·웹소설 IP / 교육출판 혼재),12,2012.0,2026.0,"2012,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026"
00347877,(주)세영디앤씨,052190,901,핵심,창작·예술 서비스,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00975290,(주)에이스토리,241840,591,핵심,영상·방송프로그램 제작/배급/상영,7,2019.0,2025.0,"2019,2020,2021,2022,2023,2024,2025"
00974927,(주)넥스트엔터테인먼트월드,160550,591,핵심,영상·방송프로그램 제작/배급/상영,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00258689,(주)제이와이피엔터테인먼트,035900,59201,핵심,오디오물·음반,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00925295,(주)에프엔씨엔터테인먼트,173940,901,핵심,창작·예술 서비스,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00243757,인포뱅크(주),039290,639,경계,기타 정보서비스,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00416654,유엔젤(주),072130,631,경계,포털·콘텐츠 플랫폼,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
01047840,미스터블루(주),207760,63991,경계,기타 정보서비스,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
01139965,주식회사 스튜디오미르,408900,59112,핵심,영상·방송프로그램 제작/배급/상영,4,2022.0,2025.0,"2022,2023,2024,2025"
00422284,메가스터디(주),072870,581,경계,출판(웹툰·웹소설 IP / 교육출판 혼재),11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00364847,(주)이글루코퍼레이션,067920,639,경계,기타 정보서비스,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00352718,(주)소리바다,053110,631,경계,포털·콘텐츠 플랫폼,9,2015.0,2023.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023"
00231442,(주)디지틀조선일보,033130,631,경계,포털·콘텐츠 플랫폼,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
01013311,(주)헥토이노베이션,214180,63991,경계,기타 정보서비스,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00249247,(주)와이지플러스,037270,631,경계,포털·콘텐츠 플랫폼,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00334624,(주)팍스넷,038160,63991,경계,기타 정보서비스,12,2014.0,2025.0,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00423690,(주)삼성출판사,068290,5811,경계,출판(웹툰·웹소설 IP / 교육출판 혼재),11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
01343735,주식회사 데이드림엔터테인먼트,348840,591,핵심,영상·방송프로그램 제작/배급/상영,4,2019.0,2022.0,"2019,2020,2021,2022"
00176914,(주)다우기술,023590,631,경계,포털·콘텐츠 플랫폼,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00359474,(주)제이웨이,058420,59130,핵심,영상·방송프로그램 제작/배급/상영,8,2015.0,2022.0,"2015,2016,2017,2018,2019,2020,2021,2022"
01335578,(주)애니플러스,310200,591,핵심,영상·방송프로그램 제작/배급/상영,8,2018.0,2025.0,"2018,2019,2020,2021,2022,2023,2024,2025"
00353762,(주)키이스트,054780,59130,핵심,영상·방송프로그램 제작/배급/상영,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00689418,(주)지유온,111820,639,경계,기타 정보서비스,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
01237434,(주)플리토,300080,63120,경계,포털·콘텐츠 플랫폼,7,2019.0,2025.0,"2019,2020,2021,2022,2023,2024,2025"
00266961,네이버(주),035420,63120,경계,포털·콘텐츠 플랫폼,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00634728,(주)이크레더블,092130,63991,경계,기타 정보서비스,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
