corp_code,기업명,종목코드,업종코드,구분,업종,보고연도수,최초,최종,연도목록
00252393,(주)예당컴퍼니,49000,59201,핵심,오디오물·음반,2,2015.0,2016.0,"2015,2016"
00255071,(주)현대에이치씨엔동작방송,34750,60222,핵심,텔레비전 방송,1,2015.0,2015.0,2015
00838421,씨제이이앤엠(주),130960,602,핵심,텔레비전 방송,3,2015.0,2017.0,"2015,2016,2017"
00232496,(주)씨그널엔터테인먼트그룹,99830,591,핵심,영상·방송프로그램 제작/배급/상영,4,2015.0,2018.0,"2015,2016,2017,2018"
00122339,(주)이매진아시아,36260,591,핵심,영상·방송프로그램 제작/배급/상영,6,2015.0,2020.0,"2015,2016,2017,2018,2019,2020"
00650629,SBS미디어홀딩스(주),101060,602,핵심,텔레비전 방송,6,2015.0,2020.0,"2015,2016,2017,2018,2019,2020"
00207755,(주)지에스홈쇼핑,28150,602,핵심,텔레비전 방송,6,2015.0,2020.0,"2015,2016,2017,2018,2019,2020"
01303029,주식회사 알비더블유,361570,59201,핵심,오디오물·음반,5,2021.0,2025.0,"2021,2022,2023,2024,2025"
00347877,(주)세영디앤씨,52190,901,핵심,창작·예술 서비스,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00975290,(주)에이스토리,241840,591,핵심,영상·방송프로그램 제작/배급/상영,7,2019.0,2025.0,"2019,2020,2021,2022,2023,2024,2025"
00974927,(주)넥스트엔터테인먼트월드,160550,591,핵심,영상·방송프로그램 제작/배급/상영,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00258689,(주)제이와이피엔터테인먼트,35900,59201,핵심,오디오물·음반,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
00925295,(주)에프엔씨엔터테인먼트,173940,901,핵심,창작·예술 서비스,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
01047840,미스터블루(주),207760,63991,경계,기타 정보서비스,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
01139965,주식회사 스튜디오미르,408900,59112,핵심,영상·방송프로그램 제작/배급/상영,4,2022.0,2025.0,"2022,2023,2024,2025"
01343735,주식회사 데이드림엔터테인먼트,348840,591,핵심,영상·방송프로그램 제작/배급/상영,4,2019.0,2022.0,"2019,2020,2021,2022"
00359474,(주)제이웨이,58420,59130,핵심,영상·방송프로그램 제작/배급/상영,8,2015.0,2022.0,"2015,2016,2017,2018,2019,2020,2021,2022"
01335578,(주)애니플러스,310200,591,핵심,영상·방송프로그램 제작/배급/상영,8,2018.0,2025.0,"2018,2019,2020,2021,2022,2023,2024,2025"
00353762,(주)키이스트,54780,59130,핵심,영상·방송프로그램 제작/배급/상영,11,2015.0,2025.0,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"
