기업명,corp_code,업종코드,구분,업종,보고연도수,기준연도,무형자산,자산총계,무형비중,게이트
주식회사 탑코미디어,00608699,631,경계,포털·콘텐츠 플랫폼,11,2025.0,27955814282.0,60367477963.0,0.46309395762954475,통과
(주)키다리스튜디오,00140131,631,경계,포털·콘텐츠 플랫폼,11,2025.0,150053232875.0,342620727464.0,0.43795725374135885,통과
(주)엔에이치엔벅스,00645089,639,경계,기타 정보서비스,11,2025.0,23023738553.0,66807403600.0,0.3446285488185025,통과
(주)팍스넷,00334624,63991,경계,기타 정보서비스,12,2023.0,4430853528.0,16592790751.0,0.2670348583605784,통과
(주)카카오,00258801,63120,경계,포털·콘텐츠 플랫폼,11,2025.0,5227758587082.0,27783524545811.0,0.1881603818285252,통과
(주)에프앤가이드,00331016,639,경계,기타 정보서비스,11,2025.0,15939640650.0,88472449505.0,0.18016502017500008,통과
(주)엔이능률,00363927,5811,경계,출판(웹툰·웹소설 IP / 교육출판 혼재),11,2025.0,17936762575.0,99626067611.0,0.18004085682710969,통과
네이트커뮤니케이션즈 주식회사,00361725,631,경계,포털·콘텐츠 플랫폼,3,2015.0,27121535097.0,152496057198.0,0.17785073001451804,통과
주식회사 디앤씨미디어,01186404,581,경계,출판(웹툰·웹소설 IP / 교육출판 혼재),9,2025.0,18600617456.0,117432951843.0,0.158393510203744,통과
(주)아이스크림에듀,00983934,58190,경계,출판(웹툰·웹소설 IP / 교육출판 혼재),7,2025.0,9203155061.0,66971694074.0,0.1374185794200013,통과
나이스평가정보 주식회사,00158325,63991,경계,기타 정보서비스,11,2025.0,78047504808.0,646531372501.0,0.1207172739446287,통과
미스터블루(주),01047840,63991,경계,기타 정보서비스,11,2025.0,7740999172.0,66711853974.0,0.11603633703564804,통과
(주)이글루코퍼레이션,00364847,639,경계,기타 정보서비스,11,2025.0,19142007651.0,182254835932.0,0.10502880515138681,통과
(주) 소프트센,00204226,639,경계,기타 정보서비스,11,2025.0,9561666976.0,93429974389.0,0.10234046448722718,통과
(주)스포츠서울,00298687,58121,경계,출판(웹툰·웹소설 IP / 교육출판 혼재),12,2024.0,434315169.0,4346275219.0,0.09992813319813837,통과
(주)헥토이노베이션,01013311,63991,경계,기타 정보서비스,11,2025.0,77077147308.0,799310040167.0,0.09642959982323787,통과
네이버(주),00266961,63120,경계,포털·콘텐츠 플랫폼,11,2025.0,3421016567851.0,41084496327318.0,0.08326782299084168,통과
(주)미트박스글로벌,01374717,639,경계,기타 정보서비스,2,2025.0,7215070673.0,98636486055.0,0.07314809115337761,통과
(주)비상교육,00520887,5811,경계,출판(웹툰·웹소설 IP / 교육출판 혼재),11,2025.0,28079596133.0,399442193970.0,0.07029702058743677,통과
(주)이크레더블,00634728,63991,경계,기타 정보서비스,11,2025.0,3172231244.0,52707617852.0,0.060185441370305244,통과
(주)핑거스토리,01584934,63991,경계,기타 정보서비스,4,2025.0,2783658832.0,50990299258.0,0.05459192969069042,통과
(주)골드앤에스,00249502,581,경계,출판(웹툰·웹소설 IP / 교육출판 혼재),11,2025.0,858648773.0,16544466943.0,0.051899452303798534,통과
텔코웨어(주),00361488,631,경계,포털·콘텐츠 플랫폼,11,2025.0,7344073040.0,142171314554.0,0.05165650372607724,통과
(주)케이아이엔엑스,00603348,63112,경계,포털·콘텐츠 플랫폼,11,2024.0,16285014674.0,336792558185.0,0.048353249732598455,미달
(주)케이티밀리의서재,01467451,581,경계,출판(웹툰·웹소설 IP / 교육출판 혼재),3,2025.0,4862760044.0,110102759082.0,0.04416565111123525,미달
(주)쿠콘,01311055,639,경계,기타 정보서비스,7,2025.0,7497189457.0,313529196521.0,0.023912252958227586,미달
(주)와이지플러스,00249247,631,경계,포털·콘텐츠 플랫폼,11,2025.0,6001461007.0,272554219719.0,0.022019328899722895,미달
유엔젤(주),00416654,631,경계,포털·콘텐츠 플랫폼,11,2025.0,1578794005.0,77650240722.0,0.020332119904847807,미달
서울평가정보(주),00260745,63991,경계,기타 정보서비스,11,2025.0,843165983.0,41758422860.0,0.020191518866189286,미달
(주)케이티씨에스,00372882,63991,경계,기타 정보서비스,11,2025.0,9379729742.0,471143023265.0,0.01990845513746313,미달
(주)젝시믹스,01391103,639,경계,기타 정보서비스,6,2025.0,2886807646.0,175385386691.0,0.016459795770134924,미달
더이앤엠(주),00519252,639,경계,기타 정보서비스,11,2025.0,1754475563.0,118073459255.0,0.014859186595108622,미달
(주)이퓨쳐,00788737,58111,경계,출판(웹툰·웹소설 IP / 교육출판 혼재),11,2025.0,411223740.0,27983690378.0,0.014695121852952343,미달
(주)사람인,00857480,63120,경계,포털·콘텐츠 플랫폼,11,2025.0,4530244407.0,326698027589.0,0.013866763874985005,미달
(주)디지틀조선일보,00231442,631,경계,포털·콘텐츠 플랫폼,11,2025.0,1473678043.0,107456359983.0,0.01371420028775534,미달
메가스터디(주),00422284,581,경계,출판(웹툰·웹소설 IP / 교육출판 혼재),11,2025.0,7178386121.0,547173192730.0,0.013119038389262138,미달
(주)케이티아이에스,00372873,63991,경계,기타 정보서비스,11,2025.0,5803745060.0,449824425159.0,0.012902245265913569,미달
(주)아이지넷,01728167,63991,경계,기타 정보서비스,2,2025.0,538913660.0,50283292740.0,0.010717549122858019,미달
한일네트웍스(주),00277736,63112,경계,포털·콘텐츠 플랫폼,10,2024.0,1318612877.0,134174784318.0,0.00982757590185374,미달
주식회사 리파인,01210066,63991,경계,기타 정보서비스,5,2025.0,2291072029.0,234854008473.0,0.009755303066344695,미달
(주)예림당,00259934,58113,경계,출판(웹툰·웹소설 IP / 교육출판 혼재),11,2025.0,2929830884.0,300699923430.0,0.009743370901396441,미달
카페24(주),00260879,63112,경계,포털·콘텐츠 플랫폼,11,2025.0,3385660236.0,415599634562.0,0.008146446614584114,미달
(주)이스트에이드,01128622,631,경계,포털·콘텐츠 플랫폼,10,2025.0,232573967.0,33484813523.0,0.006945655135282444,미달
인포뱅크(주),00243757,639,경계,기타 정보서비스,11,2025.0,552951684.0,96790824858.0,0.005712852275112078,미달
(주)다우기술,00176914,631,경계,포털·콘텐츠 플랫폼,11,2025.0,210183000754.0,82950227249756.0,0.002533844785272945,미달
(주)삼성출판사,00423690,5811,경계,출판(웹툰·웹소설 IP / 교육출판 혼재),11,2025.0,422991167.0,194780126153.0,0.002171634115627074,미달
(주)플리토,01237434,63120,경계,포털·콘텐츠 플랫폼,7,2025.0,33549982.0,24575168335.0,0.0013651984614167648,미달
(주)아시아경제,00665676,63120,경계,포털·콘텐츠 플랫폼,11,2025.0,315586410.0,332617164342.0,0.0009487977285366764,미달
